Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,120.45,123.23,120.42,122.66,73.91,396607,308681
2010-09-02,122.66,123.89,121.86,123.77,75.02,340168,303435
2010-09-03,123.68,124.19,121.95,123.35,74.6,379300,301218
2010-09-07,123.05,123.38,121.38,122.84,74.09,406641,282708
2010-09-08,122.66,124.14,122.12,123.42,74.67,359759,258993
2010-09-09,123.67,124.71,122.63,123.0,74.25,372881,238316
2010-09-10,123.15,125.48,123.12,125.2,76.45,431370,192787
2010-09-13,125.11,126.79,125.11,125.94,77.19,349157,161903
2010-09-14,125.92,126.74,124.96,125.55,76.8,416114,142958
2010-09-15,125.34,125.38,123.76,124.84,77.12,231268,316320
2010-09-16,124.58,124.82,123.05,123.46,75.74,211074,333617
2010-09-17,123.35,124.42,121.82,122.64,74.92,240914,350380
2010-09-20,122.54,124.49,122.3,123.91,76.19,292953,360238
2010-09-21,123.92,124.09,122.39,122.69,74.97,311954,364576
2010-09-22,122.51,123.72,121.56,122.43,74.71,343846,369139
2010-09-23,122.56,123.33,121.3,122.9,75.18,295903,360440
2010-09-24,122.67,124.4,122.38,124.21,76.49,288499,350962
2010-09-27,124.19,124.89,123.24,124.24,76.52,289641,352137
2010-09-28,123.95,124.84,123.25,123.9,76.18,329350,345759
2010-09-29,123.92,125.85,123.32,125.58,77.86,388993,342688
2010-09-30,125.63,127.9,125.27,127.69,79.97,418628,341496
2010-10-01,127.56,129.47,127.42,129.3,81.58,359944,327984
2010-10-04,129.4,130.1,128.49,129.19,81.47,313306,320419
2010-10-05,129.09,130.71,128.87,130.54,82.82,336832,318650
2010-10-06,130.32,131.81,130.01,130.95,83.23,349174,314185
2010-10-07,130.99,132.15,128.72,129.39,81.67,450952,276817
2010-10-08,129.15,130.85,128.02,130.38,82.66,414081,259758
2010-10-11,130.67,131.22,129.54,129.93,82.21,234320,211068
2010-10-12,129.66,130.05,128.6,129.39,81.67,333582,184603
2010-10-13,129.44,131.17,129.4,130.73,83.01,330288,162926
2010-10-14,130.95,131.84,129.93,130.41,82.69,340955,140915
2010-10-15,130.55,131.03,128.46,128.98,81.93,228253,397209
2010-10-18,129.25,131.0,128.06,130.85,83.8,284111,407611
2010-10-19,130.79,130.94,126.89,127.21,80.16,470435,409809
2010-10-20,126.98,129.63,126.95,129.59,82.54,422745,410613
2010-10-21,129.6,129.75,127.14,127.61,80.56,378285,399236
2010-10-22,127.78,129.12,127.46,128.74,81.69,256382,388298
2010-10-25,129.06,130.33,128.5,129.57,82.52,339395,391583
2010-10-26,129.52,129.93,128.86,129.6,82.55,265930,376549
2010-10-27,129.53,129.74,127.57,128.99,81.94,375249,369334
2010-10-28,129.04,129.69,128.55,129.23,82.18,296748,365275
2010-10-29,128.97,129.17,127.61,128.48,81.43,313874,364548
2010-11-01,128.5,130.91,128.37,130.0,82.95,358535,360131
2010-11-02,129.93,131.52,129.88,130.95,83.9,281834,362718
2010-11-03,131.42,132.41,130.62,131.74,84.69,393735,364559
2010-11-04,132.14,133.88,131.97,133.54,86.49,317997,370009
2010-11-05,133.65,134.48,133.01,133.9,86.85,317997,357068
2010-11-08,134.44,134.54,133.01,134.11,87.06,309966,305805
2010-11-09,133.8,134.68,132.53,133.77,86.72,367995,269039
2010-11-10,133.5,135.26,133.15,134.86,87.81,472840,244101
2010-11-11,134.9,135.68,134.59,134.86,87.81,343012,216785
2010-11-12,134.78,134.9,131.57,131.93,84.88,478815,197922
2010-11-15,131.81,132.81,131.51,131.88,85.29,149117,310762
2010-11-16,131.56,131.79,129.12,129.43,82.84,224785,321825
2010-11-17,129.45,129.76,127.24,127.63,81.04,354527,342062
2010-11-18,127.63,129.53,127.51,129.01,82.42,369365,350317
2010-11-19,129.35,129.91,127.67,128.57,81.98,324513,353708
2010-11-22,128.74,129.46,127.27,128.33,81.74,290222,351027
2010-11-23,128.2,128.69,126.87,127.84,81.25,351860,351130
2010-11-24,127.58,130.84,127.56,130.45,83.86,324511,343175
2010-11-26,130.8,131.12,129.37,130.35,83.76,174178,339956
2010-11-29,130.49,132.49,130.18,132.32,85.73,335800,330798
2010-11-30,132.4,132.49,130.14,130.7,84.11,338358,323184
2010-12-01,130.25,133.54,130.22,133.34,86.75,340736,322736
2010-12-02,133.39,134.72,132.86,134.59,88.0,330642,316409
2010-12-03,134.53,136.08,133.73,135.78,89.19,354635,313833
2010-12-06,136.03,136.35,135.15,135.97,89.38,293836,299677
2010-12-07,135.51,137.35,134.63,135.28,88.69,462689,266057
2010-12-08,134.94,135.58,133.92,134.87,88.28,383144,234912
2010-12-09,135.14,136.01,134.3,134.96,88.37,353964,194553
2010-12-10,135.1,135.59,133.69,134.38,87.79,313842,162480
2010-12-13,134.27,136.08,134.03,135.2,88.61,329766,148316
2010-12-14,134.78,135.54,134.33,134.87,88.28,281851,132168
2010-12-15,134.8,135.7,133.46,135.27,89.24,193930,288833
2010-12-16,135.14,135.52,134.37,134.43,88.4,177355,296392
2010-12-17,134.53,135.23,133.74,134.63,88.6,225957,300595
2010-12-20,134.81,135.6,133.76,135.4,89.37,265975,305211
2010-12-21,135.25,136.13,135.09,135.85,89.82,187321,308656
2010-12-22,136.02,136.83,135.88,136.51,90.48,187386,311552
2010-12-23,136.64,137.66,136.36,137.54,91.51,145007,312495
2010-12-27,137.1,137.91,136.54,137.03,91.0,104321,313553
2010-12-28,136.82,137.7,136.78,137.52,91.49,104415,313081
2010-12-29,137.3,137.56,136.83,137.15,91.12,117853,312896
2010-12-30,137.01,137.43,135.05,135.87,89.84,209645,312589
2010-12-31,135.7,138.09,135.08,137.41,91.38,171010,311738
2011-01-03,137.34,138.61,137.24,137.58,91.55,225189,315022
2011-01-04,137.53,138.1,134.39,135.41,89.38,415521,310848
2011-01-05,135.32,136.87,134.13,136.33,90.3,416908,302621
2011-01-06,136.5,136.74,133.88,134.41,88.38,440456,288938
2011-01-07,134.21,135.51,133.28,134.06,88.03,444813,251299
2011-01-10,135.03,136.01,134.16,135.28,89.25,430277,226754
2011-01-11,135.34,137.42,134.96,137.14,91.11,429761,195730
2011-01-12,137.21,138.42,136.82,137.89,91.86,382686,169217
2011-01-13,138.03,138.4,136.78,137.43,91.4,358898,129665
2011-01-14,137.02,137.72,136.13,137.57,91.54,313331,88818
2011-01-18,137.55,137.89,136.46,137.31,92.31,267097,399893
2011-01-19,137.2,138.02,136.46,136.81,91.81,325048,411835
2011-01-20,136.63,136.8,133.9,134.59,89.59,442041,410592
2011-01-21,134.45,135.22,133.87,134.11,89.11,287810,405376
2011-01-24,134.26,134.63,132.27,132.87,87.87,356085,409644
2011-01-25,132.7,132.85,131.12,131.19,86.19,338646,408392
2011-01-26,131.23,132.79,131.03,132.33,87.33,347753,410630
2011-01-27,132.55,132.66,130.21,130.64,85.64,369379,407802
2011-01-28,130.28,134.73,130.11,134.34,89.34,584789,396281
2011-01-31,134.97,137.84,133.4,137.19,92.19,436801,395576
2011-02-01,137.2,137.45,135.33,135.77,90.77,392882,389902
2011-02-02,135.51,136.78,135.1,135.86,90.86,312107,381561
2011-02-03,135.93,137.05,135.0,135.54,90.54,290494,375845
2011-02-04,135.63,136.67,133.45,134.03,89.03,359925,365414
2011-02-07,134.06,134.54,132.18,132.48,87.48,324984,334518
2011-02-08,132.41,133.11,130.88,131.94,86.94,414877,293484
2011-02-09,132.35,132.95,131.36,131.71,86.71,367209,260987
2011-02-10,131.93,132.9,130.96,131.73,86.73,419188,221434
2011-02-11,132.7,132.77,130.1,130.58,85.58,383391,190899
2011-02-14,130.5,131.52,129.58,129.81,84.81,319329,171051
2011-02-15,129.78,130.65,128.18,128.65,87.57,229224,258637
2011-02-16,128.83,129.85,128.17,128.92,87.84,254054,268574
2011-02-17,129.2,130.33,128.43,129.92,88.84,307820,276260
2011-02-18,130.08,132.04,129.51,130.79,89.71,370523,297201
2011-02-22,131.12,139.56,130.85,136.5,95.42,638193,300882
2011-02-23,136.76,141.08,136.22,139.18,98.1,489667,303774
2011-02-24,140.05,144.49,136.7,138.36,97.28,507456,298362
2011-02-25,137.71,140.28,137.25,138.96,97.88,307903,289592
2011-02-28,139.58,141.04,137.79,138.05,96.97,262001,287572
2011-03-01,138.05,141.77,137.45,140.71,99.63,322429,295011
2011-03-02,141.56,143.58,140.29,143.31,102.23,446378,293546
2011-03-03,143.47,144.02,141.23,142.99,101.91,382555,280646
2011-03-04,142.78,146.25,142.62,145.5,104.42,369148,275563
2011-03-07,145.73,148.03,145.33,146.52,105.44,404435,262242
2011-03-08,145.93,146.87,144.41,146.1,105.02,420036,233827
2011-03-09,146.04,147.0,144.98,145.46,104.38,353948,222835
2011-03-10,145.53,146.14,141.7,143.78,102.7,432988,215405
2011-03-11,143.72,144.08,140.09,142.24,101.16,342531,207719
2011-03-14,141.39,142.97,139.55,142.27,101.19,289434,178306
2011-03-15,142.86,142.87,137.78,138.06,97.98,218453,320282
2011-03-16,138.14,140.65,137.1,139.03,98.95,225137,332372
2011-03-17,139.17,143.04,137.7,142.47,102.39,165099,343874
2011-03-18,142.88,144.62,141.09,141.93,101.85,227003,352160
2011-03-21,143.1,144.35,142.68,143.17,103.09,241888,363721
2011-03-22,142.82,145.28,142.18,145.05,104.97,303365,369181
2011-03-23,144.93,146.42,144.46,145.83,105.75,254571,363643
2011-03-24,145.6,146.77,144.84,145.68,105.6,258015,362319
2011-03-25,145.54,146.03,144.58,145.48,105.4,235658,355480
2011-03-28,145.51,145.84,143.68,144.06,103.98,223079,351089
2011-03-29,144.02,145.08,142.78,144.87,104.79,246824,350797
2011-03-30,144.53,145.23,143.52,144.35,104.27,256895,346588
