Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,1.3871,1.4039,1.3845,1.3979,1.2796,313070,228460
2010-09-02,1.3983,1.4031,1.3958,1.3995,1.2812,249002,222618
2010-09-03,1.4007,1.408,1.3991,1.4061,1.2878,272209,212288
2010-09-07,1.4076,1.4102,1.386,1.3883,1.27,416476,204249
2010-09-08,1.3864,1.3946,1.3842,1.3904,1.2721,325023,168709
2010-09-09,1.3903,1.3949,1.3848,1.3881,1.2695,150882,129994
2010-09-10,1.388,1.393,1.3826,1.3899,1.2713,270384,156841
2010-09-13,1.3889,1.4075,1.3886,1.4046,1.286,294789,162416
2010-09-14,1.4057,1.4215,1.4011,1.4201,1.3015,417330,170076
2010-09-15,1.4172,1.4219,1.4138,1.4188,1.3002,330978,166400
2010-09-16,1.4193,1.4298,1.4157,1.4262,1.3076,350791,166377
2010-09-17,1.4257,1.4341,1.4202,1.4225,1.3039,327492,162518
2010-09-20,1.4231,1.4304,1.4211,1.4242,1.3056,231078,164335
2010-09-21,1.4245,1.4469999999999998,1.4240000000000002,1.4427,1.3241,327891,161622
2010-09-22,1.4432,1.4623,1.443,1.457,1.3384,427722,172583
2010-09-23,1.4582,1.4598,1.4487,1.4517,1.3331,342300,170318
2010-09-24,1.4498,1.4680000000000002,1.4469999999999998,1.4653,1.3467,304147,176143
2010-09-27,1.467,1.4691,1.4608,1.4657,1.3471,209068,176762
2010-09-28,1.4626,1.4778,1.4563,1.4748,1.3562,427542,188827
2010-09-29,1.4768,1.483,1.475,1.4823,1.3637,335517,187355
2010-09-30,1.4803,1.4864,1.4739,1.482,1.3634,434769,185952
2010-10-01,1.481,1.4972,1.4797,1.4958,1.3772,323301,186483
2010-10-04,1.497,1.497,1.4846,1.4865,1.3679,263075,187500
2010-10-05,1.4855,1.504,1.4818,1.5026,1.384,364432,195076
2010-10-06,1.5013,1.5128,1.4978,1.5115,1.3929,341495,191119
2010-10-07,1.5103,1.5208,1.5035,1.5108,1.3922,449914,195466
2010-10-08,1.5097,1.5164,1.5011,1.509,1.3904,413239,184300
2010-10-11,1.5179,1.5187,1.5045,1.5066,1.388,192403,186144
2010-10-12,1.506,1.5117,1.4954,1.5092,1.3906,396796,195223
2010-10-13,1.5097,1.5182,1.5091,1.5142,1.3956,295685,199733
2010-10-14,1.5139,1.5302,1.5134,1.5235,1.4049,336100,203035
2010-10-15,1.5256,1.5342,1.5115,1.514,1.3954,459984,206469
2010-10-18,1.515,1.5176,1.5009,1.5174,1.3988,316840,214430
2010-10-19,1.5124,1.5182,1.4889,1.4918,1.3732,485586,216948
2010-10-20,1.4918,1.5168,1.4874,1.5135,1.3949,438765,216155
2010-10-21,1.5135,1.5228,1.5048,1.5108,1.3922,414770,210112
2010-10-22,1.5105,1.5152,1.5036,1.5106,1.392,268569,206905
2010-10-25,1.5128,1.5258,1.5112,1.5153,1.3967,284655,207458
2010-10-26,1.5134,1.516,1.5003,1.5026,1.384,340318,206268
2010-10-27,1.5037,1.5057,1.4912,1.4938,1.3752,359292,201776
2010-10-28,1.4955,1.5125,1.4947,1.5105,1.3919,368490,204465
2010-10-29,1.5106,1.5132,1.4986,1.5074,1.3888,350953,204405
2010-11-01,1.5147,1.5191,1.5042,1.5067,1.3881,289250,198145
2010-11-02,1.5076,1.5238,1.5061,1.5215,1.4029,332627,204027
2010-11-03,1.5211,1.5387,1.517,1.5284,1.4098,438195,198919
2010-11-04,1.5308,1.5462,1.5281,1.5388,1.4202,410020,205168
2010-11-05,1.5393,1.5431,1.5203,1.5224,1.4038,402606,201264
2010-11-08,1.5236,1.5265,1.5067,1.5104,1.3918,327333,202544
2010-11-09,1.5096,1.5156,1.4931,1.5012,1.3826,442912,200349
2010-11-10,1.4944,1.5006,1.4851,1.4959,1.3773,490814,199603
2010-11-11,1.4957,1.5003,1.4818,1.4835,1.3649,360751,200531
2010-11-12,1.4845,1.496,1.4755,1.4876,1.369,482797,195599
2010-11-15,1.4863,1.4933,1.4747,1.4784,1.3598,369300,195134
