Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,881.0,911.75,880.0,911.0,1081.75,2355074,2901867
2010-09-02,910.75,919.75,905.75,918.75,1089.5,1601762,2875870
2010-09-03,919.0,933.75,915.5,932.75,1103.5,2017072,2863151
2010-09-07,933.0,936.5,919.0,920.5,1091.25,1751617,2803647
2010-09-08,920.75,932.25,915.5,928.5,1099.25,2001331,2602936
2010-09-09,928.5,941.25,926.0,931.75,1102.5,1612227,2246071
2010-09-10,932.25,939.75,929.75,939.0,1109.75,892734,1863017
2010-09-13,944.0,953.0,942.0,950.25,1116.25,1998170,1793046
2010-09-14,949.75,956.5,944.25,949.75,1115.75,2304737,2127504
2010-09-15,949.5,955.5,943.0,954.75,1120.75,2083703,2372341
2010-09-16,955.0,958.0,946.75,956.5,1122.5,1866295,2453572
2010-09-17,956.75,966.75,951.0,953.75,1119.75,1933484,2436902
2010-09-20,952.5,974.25,951.0,970.5,1136.5,1789965,2432315
2010-09-21,970.5,978.0,964.25,968.75,1134.75,2098867,2416981
2010-09-22,969.0,974.25,960.5,963.75,1129.75,1957234,2514158
2010-09-23,964.0,968.5,951.25,954.5,1120.5,2190002,2515427
2010-09-24,954.5,978.5,952.5,977.25,1143.25,1846093,2561544
2010-09-27,978.0,983.75,971.0,971.75,1137.75,1343049,2557181
2010-09-28,971.75,980.0,961.25,975.75,1141.75,2305031,2566485
2010-09-29,975.75,980.75,969.5,975.0,1141.0,1860633,2582239
2010-09-30,975.0,987.5,965.25,970.75,1136.75,2825790,2536476
2010-10-01,969.75,980.5,968.5,976.25,1142.25,2065971,2546627
2010-10-04,977.25,978.0,961.0,968.75,1134.75,1849807,2569442
2010-10-05,968.75,992.75,966.75,988.75,1154.75,2203058,2638930
2010-10-06,989.0,994.0,985.0,989.75,1155.75,1720880,2623535
2010-10-07,989.75,997.75,981.25,990.5,1156.5,1988730,2625005
2010-10-08,990.5,998.0,979.5,994.5,1160.5,1969643,2627827
2010-10-11,995.5,999.0,991.75,996.25,1162.25,1005696,2640554
2010-10-12,996.5,1003.0,985.75,998.5,1164.5,1941433,2646446
2010-10-13,999.25,1015.0,998.25,1008.25,1174.25,2163266,2723060
2010-10-14,1008.75,1014.75,996.5,1007.5,1173.5,2400204,2711338
2010-10-15,1008.0,1014.0,997.0,1009.0,1175.0,2644031,2675728
2010-10-18,1008.25,1016.25,998.75,1012.25,1178.25,1465558,2688392
2010-10-19,1012.75,1013.5,989.5,997.75,1163.75,3065772,2681018
2010-10-20,998.0,1014.0,994.5,1008.75,1174.75,2289137,2707547
2010-10-21,1008.75,1020.25,1001.25,1009.75,1175.75,2408540,2689222
2010-10-22,1009.25,1015.5,1007.25,1014.75,1180.75,1204824,2671093
2010-10-25,1014.75,1027.0,1014.5,1016.75,1182.75,1752840,2679509
2010-10-26,1016.0,1018.25,1008.0,1016.75,1182.75,1743843,2686156
2010-10-27,1017.25,1020.25,1001.75,1012.75,1178.75,2246880,2690222
2010-10-28,1012.5,1021.5,1007.5,1013.25,1179.25,2014979,2668557
2010-10-29,1013.25,1016.5,1006.0,1013.75,1179.75,1751544,2671762
2010-11-01,1014.5,1026.75,1007.75,1017.0,1183.0,2032082,2670465
2010-11-02,1016.75,1027.5,1014.75,1026.75,1192.75,1573659,2694988
2010-11-03,1026.75,1032.0,1013.5,1031.25,1197.25,2361808,2683550
2010-11-04,1031.5,1052.75,1029.25,1052.5,1218.5,2301698,2735053
2010-11-05,1052.25,1058.5,1046.5,1056.0,1222.0,2101279,2754134
2010-11-08,1054.5,1056.25,1048.75,1054.0,1220.0,1542756,2809190
2010-11-09,1053.25,1058.75,1040.25,1045.0,1211.0,2324133,2778956
2010-11-10,1044.5,1051.0,1035.75,1048.0,1214.0,2483583,2797314
2010-11-11,1047.5,1047.75,1036.0,1045.0,1211.0,1775665,2806244
2010-11-12,1044.5,1045.75,1025.5,1029.5,1195.5,2766115,2812753
2010-11-15,1029.5,1039.75,1026.5,1029.75,1195.75,2071297,2827290
2010-11-16,1029.25,1029.25,1005.0,1008.75,1174.75,3168883,2831177
2010-11-17,1009.75,1016.0,1007.25,1011.5,1177.5,2021219,2779026
2010-11-18,1011.75,1033.0,1011.0,1031.75,1197.75,2067180,2808354
2010-11-19,1031.5,1034.0,1021.5,1032.25,1198.25,1733603,2794626
