Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,1854.0,1905.75,1851.25,1900.75,1820.0,389294,338225
2010-09-02,1901.25,1922.0,1893.75,1918.0,1837.25,250865,341177
2010-09-03,1919.5,1952.0,1915.25,1947.75,1867.0,306188,343008
2010-09-07,1948.25,1958.75,1934.5,1938.25,1857.5,271396,345499
2010-09-08,1938.0,1968.75,1933.0,1958.25,1877.5,308420,339352
2010-09-09,1959.0,1978.5,1955.5,1966.5,1885.75,235345,317910
2010-09-10,1967.5,1977.5,1960.75,1973.0,1892.25,125668,299175
2010-09-13,1979.0,2006.0,1978.5,2000.0,1916.75,320178,187238
2010-09-14,1999.0,2019.25,1993.0,2005.75,1922.5,372238,236502
2010-09-15,2007.0,2023.5,1997.5,2022.75,1939.5,325442,297170
2010-09-16,2022.75,2036.5,2012.75,2033.0,1949.75,328922,325547
2010-09-17,2035.25,2053.25,2025.75,2036.0,1952.75,305013,329529
2010-09-20,2033.75,2074.0,2030.5,2065.0,1981.75,284093,343142
2010-09-21,2065.25,2083.5,2060.25,2068.75,1985.5,319921,336458
2010-09-22,2068.75,2078.0,2053.75,2062.75,1979.5,336151,375147
2010-09-23,2062.75,2083.5,2045.75,2064.75,1981.5,378087,394965
2010-09-24,2066.0,2105.25,2062.0,2101.5,2018.25,304445,408767
2010-09-27,2102.0,2115.25,2090.5,2090.5,2007.25,233636,398794
2010-09-28,2091.25,2107.75,2060.5,2091.75,2008.5,440359,412641
2010-09-29,2093.0,2101.75,2081.75,2092.25,2009.0,274660,423234
2010-09-30,2092.75,2111.5,2066.5,2078.75,1995.5,444527,425807
2010-10-01,2079.0,2098.75,2068.25,2077.75,1994.5,321294,430232
2010-10-04,2081.0,2081.0,2044.25,2060.25,1977.0,298949,440261
2010-10-05,2060.5,2108.25,2058.75,2101.75,2018.5,352212,459409
2010-10-06,2102.0,2107.75,2073.5,2087.5,2004.25,334881,446950
2010-10-07,2087.5,2103.0,2077.0,2097.25,2014.0,285357,438045
2010-10-08,2097.25,2112.5,2065.25,2104.0,2020.75,313502,444846
2010-10-11,2106.25,2118.25,2102.0,2108.75,2025.5,175827,437941
2010-10-12,2108.5,2126.75,2087.5,2120.25,2037.0,319824,442447
2010-10-13,2125.25,2148.5,2119.0,2139.25,2056.0,296220,443484
2010-10-14,2139.75,2150.75,2124.5,2145.25,2062.0,316761,441192
2010-10-15,2148.25,2181.0,2143.5,2178.25,2095.0,374142,440094
2010-10-18,2178.25,2188.0,2166.0,2177.75,2094.5,254281,428757
2010-10-19,2175.25,2186.25,2134.75,2150.75,2067.5,474153,431451
2010-10-20,2151.25,2181.75,2145.75,2167.0,2083.75,288963,445373
2010-10-21,2168.25,2187.75,2150.0,2163.25,2080.0,327967,434119
2010-10-22,2163.75,2187.75,2160.25,2187.25,2104.0,206996,439322
2010-10-25,2187.25,2208.75,2185.25,2191.75,2108.5,241766,436843
2010-10-26,2192.5,2205.25,2175.75,2199.25,2116.0,255462,452922
2010-10-27,2200.5,2208.25,2185.5,2207.0,2123.75,267310,447152
2010-10-28,2206.75,2220.0,2192.5,2209.0,2125.75,306514,441997
2010-10-29,2210.0,2218.75,2200.0,2205.25,2122.0,232478,439844
2010-11-01,2208.25,2229.75,2198.25,2212.25,2129.0,286483,441286
2010-11-02,2211.5,2237.0,2209.5,2233.5,2150.25,227217,441753
2010-11-03,2234.5,2248.75,2213.25,2247.5,2164.25,348195,449653
2010-11-04,2247.75,2274.25,2245.5,2267.75,2184.5,324318,448973
2010-11-05,2267.25,2274.25,2259.75,2268.0,2184.75,259748,450571
2010-11-08,2263.75,2272.5,2256.75,2267.25,2184.0,200812,437679
