Date,Open,High,Low,Close,Spliced,Volume,Open Int
2010-09-01,573.75,582.25,572.75,581.75,446.75,146539,831869
2010-09-02,581.75,583.0,578.0,582.5,447.5,116779,826712
2010-09-03,581.75,602.0,580.5,599.5,464.5,309728,847783
2010-09-07,599.0,604.0,591.75,601.25,466.25,184005,841880
2010-09-08,600.25,603.25,596.75,597.5,462.5,148496,830572
2010-09-09,597.25,607.0,594.5,605.75,470.75,198492,821001
2010-09-10,605.0,614.5,602.25,613.25,478.25,223395,811763
2010-09-13,612.25,621.5,611.25,618.5,483.5,211040,785989
2010-09-14,618.75,630.5,615.25,630.0,495.0,206323,793609
2010-09-15,629.0,633.5,626.75,630.25,495.25,154188,785189
2010-09-16,630.0,632.5,624.5,631.0,496.0,161285,783859
2010-09-17,632.0,652.25,631.5,648.25,513.25,263306,785800
2010-09-20,648.25,658.75,642.5,643.25,508.25,228169,784279
2010-09-21,642.5,652.25,638.5,640.25,505.25,187400,789286
2010-09-22,639.5,647.0,635.25,640.0,505.0,187576,784016
2010-09-23,641.25,642.0,630.25,634.25,499.25,192998,776547
2010-09-24,633.75,658.5,631.5,656.75,521.75,201964,764137
2010-09-27,657.0,663.75,646.0,647.75,512.75,176759,755835
2010-09-28,647.0,648.5,634.5,635.0,500.0,151856,745503
2010-09-29,635.0,641.0,621.0,640.0,505.0,209526,739447
2010-09-30,640.0,643.25,613.25,630.75,495.75,307752,730114
2010-10-01,629.75,629.75,600.75,600.75,465.75,304420,712977
2010-10-04,595.5,608.75,589.25,606.5,471.5,217559,703606
2010-10-05,606.25,628.5,599.75,626.0,491.0,213718,696738
2010-10-06,626.0,631.0,622.25,623.5,488.5,136692,685990
2010-10-07,623.25,637.5,622.75,633.25,498.25,205680,681406
2010-10-08,632.75,663.25,631.0,663.25,528.25,85717,674017
2010-10-11,708.25,708.25,690.0,690.75,555.75,275238,671340
2010-10-12,690.0,719.25,689.5,714.0,579.0,284555,674525
2010-10-13,713.0,723.0,700.5,704.25,569.25,247192,660508
2010-10-14,704.0,714.75,700.75,702.25,567.25,189203,657297
2010-10-15,703.0,710.0,696.0,698.0,563.0,160433,655078
2010-10-18,696.5,698.0,688.0,692.25,557.25,146179,651162
2010-10-19,692.25,697.0,677.75,681.0,546.0,232701,649353
2010-10-20,681.0,711.0,679.0,708.5,573.5,222193,649542
2010-10-21,708.0,714.5,696.75,699.25,564.25,187133,641460
2010-10-22,699.0,706.0,694.5,695.0,560.0,142067,618041
2010-10-25,696.0,710.5,695.5,703.75,568.75,149493,616681
2010-10-26,702.0,712.25,697.0,706.0,571.0,173453,602815
2010-10-27,706.75,714.0,696.5,712.25,577.25,176337,591872
2010-10-28,711.0,720.25,710.25,714.0,579.0,187624,575424
2010-10-29,714.0,718.0,706.0,717.0,582.0,130063,567214
2010-11-01,720.0,725.75,707.0,712.25,577.25,163197,556464
2010-11-02,712.75,718.0,707.25,710.75,575.75,178280,540634
2010-11-03,711.25,717.25,703.75,716.0,581.0,203281,514599
2010-11-04,716.0,730.75,715.5,725.0,590.0,193299,502472
2010-11-05,725.0,726.75,718.0,722.75,587.75,188473,482260
2010-11-08,722.5,727.0,719.5,720.25,585.25,181957,449756
2010-11-09,720.5,740.0,706.0,711.25,576.25,368624,423939
2010-11-10,710.0,715.25,700.0,701.75,566.75,234149,386295
2010-11-11,702.0,709.25,692.5,699.0,564.0,240557,368968
2010-11-12,699.0,701.5,669.0,669.0,534.0,270071,348657
2010-11-15,676.75,702.0,674.0,690.5,555.5,209834,331963
2010-11-16,690.0,691.25,660.5,661.5,526.5,265132,314796
2010-11-17,662.5,671.0,644.0,660.75,525.75,239339,301506
2010-11-18,662.0,681.5,661.0,676.75,541.75,152125,290336
2010-11-19,677.75,683.25,653.5,655.75,520.75,197574,279007
2010-11-22,650.25,667.25,646.75,650.25,515.25,215864,252828
2010-11-23,653.5,666.5,641.25,663.5,528.5,216145,215886
2010-11-24,663.5,674.5,663.5,673.75,538.75,145624,188656
2010-11-26,675.0,678.5,665.5,673.0,553.0,77878,714656
2010-11-29,677.5,680.0,670.25,673.25,553.25,201670,736749
2010-11-30,674.0,676.0,663.25,664.0,544.0,148353,740565
2010-12-01,664.5,687.5,662.5,686.25,566.25,191340,744511
2010-12-02,684.5,688.0,675.0,675.5,555.5,161989,739234
2010-12-03,675.75,694.0,675.5,693.5,573.5,161342,740787
2010-12-06,693.5,695.25,682.5,688.0,568.0,123397,734937
2010-12-07,688.5,695.75,676.75,681.75,561.75,142668,729126
2010-12-08,680.75,695.0,672.25,694.5,574.5,149130,721694
2010-12-09,694.25,698.75,689.25,694.25,574.25,132497,721933
2010-12-10,694.75,699.25,687.25,694.25,574.25,114371,712734
2010-12-13,694.0,709.0,689.0,708.5,588.5,131656,718866
2010-12-14,707.0,709.0,703.5,707.25,587.25,103096,718463
2010-12-15,706.0,714.5,700.0,704.25,584.25,128396,719315
2010-12-16,703.25,710.0,701.5,707.5,587.5,87439,721696
2010-12-17,707.0,719.0,705.5,716.5,596.5,113487,725562
2010-12-20,717.0,724.0,716.5,719.5,599.5,93069,733741
2010-12-21,719.0,724.0,718.0,722.25,602.25,75074,732442
2010-12-22,722.5,729.75,720.0,729.0,609.0,101209,732746
2010-12-23,728.5,734.75,726.5,734.0,614.0,86297,739167
2010-12-27,730.0,739.0,729.25,735.25,615.25,62225,736226
2010-12-28,734.5,744.25,732.5,743.25,623.25,82057,736988
2010-12-29,742.5,746.5,739.0,744.0,624.0,72854,732979
2010-12-30,743.0,745.0,732.5,736.0,616.0,94981,727836
2010-12-31,736.25,750.0,735.75,749.0,629.0,69508,734311
2011-01-03,746.25,754.0,740.0,740.5,620.5,122199,729612
2011-01-04,740.0,743.5,723.25,728.5,608.5,177112,719829
2011-01-05,729.0,739.75,720.25,739.25,619.25,164318,722513
2011-01-06,738.75,741.5,720.25,722.0,602.0,178708,721271
2011-01-07,720.5,724.5,715.0,715.0,595.0,164232,703823
2011-01-10,717.5,734.0,717.25,727.0,607.0,165455,702451
2011-01-11,728.0,735.5,723.5,727.0,607.0,146506,698007
2011-01-12,728.0,757.0,725.5,751.0,631.0,214201,696621
2011-01-13,753.5,769.5,753.25,762.5,642.5,199502,683455
2011-01-14,765.0,772.0,756.25,768.75,648.75,159213,678757
2011-01-18,767.25,782.75,765.5,779.5,659.5,171361,674144
2011-01-19,779.5,786.25,757.25,761.25,641.25,225524,661026
2011-01-20,761.25,774.75,747.5,774.0,654.0,198694,653753
2011-01-21,776.0,787.0,770.5,777.25,657.25,181672,647948
2011-01-24,779.5,781.5,770.5,775.25,655.25,129965,628587
2011-01-25,774.75,775.0,759.25,764.0,644.0,169909,610888
2011-01-26,764.0,782.0,760.25,777.75,657.75,145601,602712
2011-01-27,778.5,781.75,767.5,770.75,650.75,144411,593500
2011-01-28,772.0,777.75,762.5,764.0,644.0,149126,585034
2011-01-31,762.25,779.5,762.25,779.5,659.5,143660,585069
2011-02-01,778.75,786.75,775.75,786.0,666.0,136793,580518
2011-02-02,785.5,794.5,783.25,789.25,669.25,135553,567540
2011-02-03,789.0,793.75,778.5,782.5,662.5,155387,553791
2011-02-04,784.0,799.5,779.5,798.5,678.5,144574,547452
2011-02-07,797.0,802.5,789.5,794.75,674.75,182660,503863
2011-02-08,794.0,795.0,786.25,793.75,673.75,147470,472610
2011-02-09,793.5,820.75,793.25,818.0,698.0,231721,442023
2011-02-10,818.0,824.5,814.25,818.5,698.5,224737,403870
2011-02-11,818.75,826.75,815.0,826.5,706.5,179714,369098
2011-02-14,826.25,830.5,815.0,815.75,695.75,156566,343594
2011-02-15,817.0,819.75,800.25,810.5,690.5,218422,322175
2011-02-16,811.5,815.0,802.75,810.5,690.5,165499,301348
2011-02-17,812.0,832.75,812.0,832.75,712.75,121105,301598
2011-02-18,832.0,835.0,821.75,829.75,709.75,156484,256607
2011-02-22,834.5,844.25,799.75,799.75,679.75,176836,206041
2011-02-23,792.5,813.75,776.5,811.5,691.5,194778,146116
2011-02-24,812.75,817.75,799.75,805.75,696.5,205085,689475
2011-02-25,805.0,835.75,803.25,831.25,722.0,239007,719013
2011-02-28,832.75,841.0,825.5,840.25,731.0,185926,726111
2011-03-01,839.75,845.5,834.5,844.75,735.5,158835,733301
2011-03-02,843.25,850.0,816.25,830.75,721.5,234964,723050
2011-03-03,830.25,846.25,827.25,846.0,736.75,137572,723985
2011-03-04,844.75,851.25,832.5,837.25,728.0,161461,725951
2011-03-07,837.75,842.75,819.5,826.75,717.5,167841,708426
2011-03-08,826.75,828.75,809.5,814.75,705.5,154364,697724
2011-03-09,814.75,820.75,800.5,810.25,701.0,175908,685628
2011-03-10,810.75,812.25,790.25,792.0,682.75,189672,676030
2011-03-11,793.25,794.0,762.0,773.5,664.25,235474,671052
2011-03-14,774.75,783.5,764.25,775.25,666.0,140715,658774
2011-03-15,776.5,777.0,745.25,745.25,636.0,189088,651786
2011-03-16,739.25,757.0,717.25,725.75,616.5,283674,631680
2011-03-17,727.5,755.75,725.25,755.75,646.5,118749,621115
2011-03-18,765.25,800.75,761.5,792.75,683.5,248242,607214
2011-03-21,795.0,807.75,785.25,795.75,686.5,141444,601809
2011-03-22,796.0,796.25,782.25,796.0,686.75,129106,590792
2011-03-23,796.75,800.5,787.5,790.25,681.0,116369,584645
2011-03-24,790.25,812.75,785.5,811.75,702.5,213013,580884
2011-03-25,812.0,826.5,797.5,798.75,689.5,204084,575186
2011-03-28,802.0,804.0,777.5,780.25,671.0,152408,550505
2011-03-29,780.25,786.25,770.5,781.0,671.75,149177,526870
2011-03-30,781.5,784.25,769.25,772.5,663.25,147177,509230
2011-03-31,772.5,802.5,768.5,802.5,693.25,64247,510067
2011-04-01,839.25,847.5,834.25,845.25,736.0,224259,511106
2011-04-04,845.25,874.25,843.25,869.5,760.25,196929,501803
2011-04-05,867.5,880.0,863.75,876.0,766.75,165996,487694
2011-04-06,874.25,876.25,866.75,872.25,763.0,139675,474958
2011-04-07,872.0,882.5,862.0,868.25,759.0,192597,453928
2011-04-08,868.25,878.5,860.5,877.25,768.0,240918,443078
2011-04-11,882.0,893.0,869.25,885.25,776.0,166109,428161
2011-04-12,884.5,884.75,856.0,861.75,752.5,216651,401036
2011-04-13,862.5,877.75,855.75,864.75,755.5,207989,368368
2011-04-14,866.75,869.5,850.5,863.5,754.25,158742,345506
2011-04-15,864.25,867.5,848.75,851.25,742.0,164728,322020
2011-04-18,849.75,862.5,843.0,861.0,751.75,196248,301301
2011-04-19,861.5,866.5,856.75,858.25,749.0,113079,285556
2011-04-20,858.25,877.25,838.0,842.0,732.75,118858,261018
2011-04-21,842.5,850.75,837.75,846.5,737.25,110024,231077
2011-04-25,857.5,874.5,855.25,871.75,762.5,144141,186571
2011-04-26,874.5,880.5,860.0,876.0,772.75,239993,668440
2011-04-27,876.25,878.25,860.25,862.5,759.25,235959,678712
2011-04-28,867.0,871.5,832.5,832.5,729.25,291920,688386
2011-04-29,832.75,864.75,829.25,859.75,756.5,180203,693318
2011-05-02,856.0,864.75,835.0,837.75,734.5,167828,685837
2011-05-03,842.5,846.25,824.5,827.0,723.75,173908,679705
2011-05-04,827.5,838.0,819.5,832.75,729.5,135615,678729
2011-05-05,835.25,840.75,804.25,812.0,708.75,169037,664513
2011-05-06,811.75,823.0,783.75,789.5,686.25,216827,649549
2011-05-09,793.25,814.25,789.0,810.75,707.5,142441,644397
2011-05-10,810.75,827.0,805.25,810.5,707.25,142843,635639
2011-05-11,812.0,815.5,780.5,780.5,677.25,140445,628327
2011-05-12,775.25,795.75,762.25,783.75,680.5,190247,621175
2011-05-13,785.25,793.25,779.75,785.25,682.0,121024,615734
2011-05-16,792.25,811.25,792.0,800.75,697.5,138184,607813
2011-05-17,800.75,824.25,798.75,823.5,720.25,147132,606018
2011-05-18,825.0,853.5,824.75,853.0,749.75,164860,600039
2011-05-19,852.5,863.5,845.75,851.5,748.25,156387,597557
2011-05-20,851.25,868.25,846.5,862.75,759.5,153228,594008
2011-05-23,872.25,878.25,853.25,857.25,754.0,152056,583364
2011-05-24,857.5,862.25,830.0,836.5,733.25,167096,574174
2011-05-25,838.25,850.25,835.5,845.5,742.25,117083,573356
2011-05-26,847.25,861.75,846.75,848.75,745.5,135062,568107
2011-05-27,850.75,862.25,844.0,861.75,758.5,120456,569956
2011-05-31,852.25,867.0,846.25,850.75,747.5,148538,558960
2011-06-01,854.25,863.75,844.25,861.75,758.5,163809,556242
2011-06-02,860.75,873.25,857.75,869.75,766.5,135173,551573
2011-06-03,868.75,872.25,854.25,857.25,754.0,122238,539941
2011-06-06,857.25,861.25,834.75,835.25,732.0,139370,522618
2011-06-07,835.25,841.0,832.5,839.75,736.5,188507,501955
2011-06-08,842.0,869.75,837.75,867.25,764.0,224538,482786
2011-06-09,867.25,896.25,862.75,888.75,785.5,213502,466785
2011-06-10,888.25,903.0,880.25,890.25,787.0,171077,449644
2011-06-13,889.25,895.75,880.5,885.75,782.5,162361,439443
2011-06-14,882.5,882.75,855.75,858.75,755.5,188439,420589
2011-06-15,863.5,865.5,828.75,829.0,725.75,235152,394256
2011-06-16,829.0,831.75,802.0,804.75,701.5,222258,355371
